Date/Time,Word Count,en,fr,ja
2023.11.24-16.29.40,1593,1593,0,0
2023.11.24-16.31.22,1594,1594,0,0
2023.11.24-16.32.55,1593,1593,0,0
2023.11.24-16.33.45,1594,1594,0,0
2023.12.01-12.01.13,1672,1672,0,0
2023.12.07-11.30.02,1715,1715,0,0
2023.12.07-11.37.33,1744,1744,0,0
2024.01.26-10.41.33,1748,1748,0,0
2024.03.07-17.34.43,1752,1752,0,0
2024.03.18-17.59.41,1779,1779,0,0
2024.05.27-09.37.34,1895,1895,0,0
2024.05.27-10.02.35,1907,1907,0,0
2024.06.05-16.59.12,1907,1907,1907,0
2024.07.15-14.51.23,1930,1930,1907,1638
2024.10.10-17.58.29,1949,1949,1787,1536
